RequirementId,ImplementationTask,PrimaryNamedTest,Status
REQ-AUTH-001,Task 5,AccountApplicationServiceTests,Passing
REQ-AUTH-002,Task 5,AccountApplicationServiceTests,Passing
REQ-AUTH-003,Task 5,EmailVerificationTests,Planned
REQ-AUTH-004,Task 5,AccountApplicationServiceTests,Passing
REQ-AUTH-005,Task 5,PasswordResetTests,Planned
REQ-AUTH-006,Task 5,AccountApplicationServiceTests,Passing
REQ-AUTH-007,Task 5,AuthenticationSessionTests,Planned
REQ-AUTH-008,Task 5,AuthenticationSessionTests,Planned
REQ-AUTH-009,Task 5,AdminGuardConcurrencyTests,Planned
REQ-DEV-001,Task 6,DeviceCatalogCommandTests,Planned
REQ-DEV-002,Task 6,AdvancedDeviceDeskPageTests,Passing
REQ-DEV-003,Task 6,DeviceCatalogServiceTests,Passing
REQ-DEV-004,Task 6,DeviceCatalogCommandTests,Planned
REQ-DEV-005,Task 6,PrivacyResponseTests,Planned
REQ-DEV-006,Task 6,DeviceImageUploadPolicyTests,Implemented
REQ-DEV-007,Task 6,DeviceCatalogCommandTests,Planned
REQ-DEV-008,Task 6,DeviceCatalogServiceTests,Passing
REQ-DEV-009,Task 6,DeviceCatalogServiceTests,Passing
REQ-DEV-010,Task 6,DeviceCatalogServiceTests,Passing
REQ-LOAN-001,Task 7,DeviceCatalogServiceTests,Passing
REQ-LOAN-002,Task 7,BorrowDeviceTransactionTests,Planned
REQ-LOAN-003,Task 7,BorrowDeviceConcurrencyTests,Planned
REQ-LOAN-004,Task 7,DeviceCatalogServiceTests,Passing
REQ-LOAN-005,Task 7,DeviceCatalogServiceTests,Passing
REQ-LOAN-006,Task 8,ReturnAuthorizationTests,Planned
REQ-LOAN-007,Task 8,DeviceCatalogServiceTests,Passing
REQ-LOAN-008,Task 8,AdvancedDeviceDeskPageTests,Passing
REQ-LOAN-009,Task 8,DeviceCatalogServiceTests,Passing
REQ-LOAN-010,Task 8,ReturnConcurrencyTests,Planned
REQ-LOAN-011,Task 8,LoanHistoryQueryTests,Planned
REQ-LOAN-012,Task 8,DeviceCatalogServiceTests,Passing
REQ-LOAN-013,Task 8,PolicyVersionConcurrencyTests,Planned
REQ-LOAN-014,Task 8,LoanHistoryPageTests,Passing
REQ-ADMIN-001,Task 8,LoanPolicyPageTests,Passing
REQ-ADMIN-002,Task 8,LoanPolicyPageTests,Passing
REQ-TIME-001,Task 4,AccessWindowPolicyTests,Planned
REQ-TIME-002,Task 4,AccessWindowPolicyTests,Planned
REQ-TIME-003,Task 4,DeviceCatalogServiceTests,Passing
REQ-TIME-004,Task 4,InteractiveCommandTransactionTests,Planned
REQ-TIME-005,Task 4,AccessWindowPolicyTests,Planned
REQ-TIME-006,Task 4,AccessWindowPolicyTests,Planned
REQ-TIME-007,Task 4,InteractiveCommandTransactionTests,Planned
REQ-AUDIT-001,Task 4,AuditEventTests,Passing
REQ-AUDIT-002,Task 4,AuditFieldWhitelistTests,Planned
REQ-AUDIT-003,Task 4,AtomicAuditOutboxTests,Planned
REQ-NOTIFY-001,Task 9,NotificationTemplateTests,Planned
REQ-NOTIFY-002,Task 9,LoanNotificationPlannerTests,Passing
REQ-NOTIFY-003,Task 9,ForceReturnNotificationTests,Planned
REQ-NOTIFY-004,Task 9,DeliveryFailureClassifierTests,Planned
REQ-NOTIFY-005,Task 9,LoanNotificationPlannerTests,Passing
REQ-NOTIFY-006,Task 9,OutboxClaimConcurrencyTests,Planned
REQ-NOTIFY-007,Task 9,OutboxSendingCasTests,Planned
REQ-NOTIFY-008,Task 9,SelfReturnNotificationTests,Planned
REQ-AUDIT-004,Task 10,AuditAuthorizationTests,Planned
REQ-AUDIT-005,Task 10,ArchivedHistoryQueryTests,Planned
NFR-COMP-001,Task 10,ResponsiveDeviceListTests,Planned
NFR-A11Y-001,Task 10,AccessibilitySmokeTests,Planned
NFR-SEC-001,Task 5,AuthenticationSecurityTests,Planned
NFR-SEC-002,Task 5,AuthenticationSecurityTests,Planned
NFR-SEC-003,Task 10,PrivacyResponseTests,Planned
NFR-SEC-004,Task 10,AuditAuthorizationTests,Planned
NFR-SEC-005,Task 11,SecurityEventAlertTests,Planned
NFR-SEC-006,Task 5,DataProtectionKeyRingTests,Planned
NFR-REL-001,Task 3,LoanConstraintsTests,Planned
NFR-REL-002,Task 4,AtomicMutationRollbackTests,Planned
NFR-REL-003,Task 11,BackupRestoreRehearsalTests,Planned
NFR-PERF-001,Task 11,PerformanceSloSmokeTests,Planned
NFR-PERF-002,Task 7,BorrowDeviceConcurrencyTests,Planned
NFR-AVL-001,Task 11,AvailabilitySliTests,Planned
NFR-OBS-001,Task 11,OperationalMetricsTests,Planned
